#snapnr	v0_kms_bestfit	a_MND_kpc_bestfit	b_MND_kpc_bestfit	a_NFWH_kpc_bestfit	a_HB_kpc_bestfit	n_MND_bestfit	n_NFWH_bestfit	n_HB_bestfit
9.100000000000000000e+01 3.206017280072249491e+02 9.957334527083474995e+00 2.168084644750933876e-03 4.484481723055342854e+02 8.983278503398094017e+01 6.342578924433981413e-01 4.367002541055264864e-02 3.220720821460492100e-01
9.200000000000000000e+01 3.363377803185395578e+02 9.891072893908585684e+00 1.033930777190050776e-03 2.925730420138945078e+02 2.768650473901730606e+02 5.889518080343362216e-01 1.094661239439208567e-01 3.015820680217429217e-01
9.300000000000000000e+01 3.450213919444012163e+02 1.046773582366023447e+01 1.000000000000000021e-03 3.644066301672749546e+02 3.846447254395776554e+02 5.349103500795691080e-01 3.461824754808915938e-01 1.189071744395393537e-01
9.400000000000000000e+01 3.707634130007402291e+02 1.080980242364469746e+01 8.942998637593291278e-03 2.162308371817221087e+02 4.270821048399281494e+01 4.563902052993524250e-01 3.441229949961680523e-01 1.994867997044795782e-01
9.500000000000000000e+01 3.437431849313495604e+02 1.134156138848882733e+01 2.490652044258467868e-03 2.508604174494373922e+02 6.672718021793795629e+01 5.129891153859947872e-01 1.336225799441286277e-01 3.533883046698765851e-01
9.600000000000000000e+01 3.773988880207212446e+02 1.190755176329804499e+01 1.024851249439961975e-03 3.418869606498270741e+02 2.731944553854200990e+02 4.064721256070917277e-01 4.791596315020600350e-01 1.143682428908482374e-01
9.700000000000000000e+01 3.638378401361350143e+02 1.193798789802201554e+01 2.403443978707286988e-03 1.968615892381882588e+02 3.423239666148876381e+02 4.371959697990197569e-01 4.260136457079218841e-01 1.367903844930583590e-01
9.800000000000000000e+01 3.738997136477476602e+02 1.228779433559626000e+01 1.347433204543335705e-03 4.139119938246684569e+02 4.886878781243838716e+02 4.015846513746682001e-01 1.487772404425077299e-01 4.496381081828240145e-01
9.900000000000000000e+01 3.876334790083425901e+02 1.232786065050294155e+01 2.373226013688167768e-03 5.639856434302933508e+01 1.720451509739626772e+02 3.781723752188397292e-01 3.116423237247214484e-01 3.101853010564388224e-01
1.000000000000000000e+02 3.302109318327781011e+02 1.260616851534825855e+01 4.008738604881045831e-03 9.039552112698763153e+01 1.326283076156700815e+02 5.131051305197923407e-01 3.397452556633446807e-01 1.471496138168629786e-01
1.010000000000000000e+02 3.382749446486408260e+02 1.264326201925612736e+01 4.728586911170395979e-03 2.308497595937359108e+02 5.196679233150851474e+01 4.956425329246709754e-01 2.628934680174975225e-01 2.414639990578315576e-01
1.020000000000000000e+02 3.450366879590840199e+02 1.296024302771320436e+01 2.440786537711403525e-03 2.709207352845300534e+02 1.277751805735863826e+02 4.653897307068833311e-01 2.113618800892860250e-01 3.232483892038306994e-01
1.030000000000000000e+02 3.093066231297244713e+02 1.325471545316671040e+01 8.105927876528085108e-03 2.406831182993457787e+02 2.796256057387244596e+02 5.694878302412433868e-01 3.588285136734450376e-01 7.168365608531157562e-02
1.040000000000000000e+02 3.362166811979324166e+02 1.353753916609278463e+01 7.283406680159032476e-03 1.856532214738411994e+02 2.337245261412805064e+02 4.794179655950515651e-01 1.600711404498769697e-01 3.605108939550714098e-01
1.050000000000000000e+02 3.822827307340708103e+02 1.353777557509337726e+01 4.792066025729013745e-03 4.875024257305421997e+02 4.382585384141796112e+02 3.721098090230283151e-01 1.550685539048949346e-01 4.728216370720768058e-01
1.060000000000000000e+02 2.936135793687811884e+02 1.351502625813620284e+01 7.997540190515906033e-03 3.211886034858976018e+02 2.120339886519851120e+02 6.406863598859935394e-01 1.301294974586730824e-01 2.291841426553333783e-01
1.070000000000000000e+02 3.078623566857506262e+02 1.391467388227823676e+01 6.199760806204324126e-03 2.752168282484888095e+02 2.536027343817761448e+01 5.641606055814618603e-01 4.339891976144039099e-01 1.850196804134229822e-03
1.080000000000000000e+02 3.360677616133663150e+02 1.495067320304085001e+01 9.105583576861420170e-03 7.341096928256718002e+01 1.193467337620995181e+02 4.331033622076797540e-01 3.306348490440702559e-01 2.362617887482499901e-01
1.090000000000000000e+02 3.549389958235385052e+02 1.446937691940868831e+01 1.534572721489269043e-03 1.430201160955864452e+02 7.215916582881052932e+01 4.117807987828873140e-01 4.243602490055878307e-01 1.638589522115247998e-01
1.100000000000000000e+02 2.837328311503748637e+02 1.434200099545003582e+01 5.273098884465809988e-03 2.347517250642412989e+02 2.871091887557337259e+02 6.564764368272441031e-01 1.245917044948472996e-01 2.189318586779085418e-01
1.110000000000000000e+02 3.231571274164929832e+02 1.453874384483683002e+01 4.576075998663498012e-03 1.912388409051632152e+02 3.083097143946099550e+02 5.054246316704958941e-01 3.897290754539023960e-01 1.048462928756017654e-01
1.120000000000000000e+02 3.826796486898149965e+02 3.770355010328557910e+00 1.123154192762277859e+01 6.244267554815763788e+00 6.871157991703177004e+01 3.395296534339828365e-01 3.572561491975934089e-01 3.032141973684236991e-01
1.130000000000000000e+02 3.070520845105989451e+02 1.527884226808109247e+01 3.219598383232380456e-03 4.708019088414786211e+02 4.473305588917452269e+02 5.331363445189585271e-01 1.774493513752537499e-01 2.894143041057877230e-01
1.140000000000000000e+02 3.551084681805641594e+02 1.525255512872652730e+01 6.810132944245594899e-03 9.494930485094570827e+01 6.508562232073583687e+01 4.029959643697703098e-01 4.353758429206834868e-01 1.616281927095462034e-01
1.150000000000000000e+02 3.580590787531744468e+02 1.602468040175202191e+01 1.688173038516538327e-03 3.198847056740412995e+02 4.330154810504162128e+02 3.705840737125649098e-01 3.565788592108951605e-01 2.728370670765398742e-01
1.160000000000000000e+02 3.586376625015182640e+02 1.571773846315051060e+01 6.323639484783427633e-03 6.965996271712242560e-01 3.968549929019969795e+02 3.835643434048150446e-01 1.728348842635232807e-01 4.436007723316617302e-01
1.170000000000000000e+02 3.676178072476187708e+02 1.600979060517857988e+01 4.685016506890349319e-03 3.243763991088428611e+01 1.905814865705856391e+02 3.589995146052651909e-01 4.943055031344504302e-01 1.466949822602843234e-01
1.180000000000000000e+02 3.288138205592019858e+02 1.591300971774168715e+01 1.175149474396874894e-02 1.985272589698586501e+02 4.390845836617677378e+02 4.590575602440099545e-01 2.875789195584511626e-01 2.533635201975388274e-01
1.190000000000000000e+02 3.727496115503771534e+02 1.611632050582215925e+01 6.544743749209658290e-03 1.784708849139038307e+02 3.202443329319723944e+02 3.541269192968833912e-01 4.757567139409284995e-01 1.701163667621881093e-01
1.200000000000000000e+02 2.802764898696302112e+02 1.610680846788187637e+01 9.457862746522494035e-03 2.000217562885506482e+02 2.688600921071293328e+02 6.325943667830977724e-01 3.415290627207332452e-01 2.587657049616898242e-02
1.210000000000000000e+02 2.702302457846005268e+02 1.627667971287300475e+01 1.095421400342644347e-02 6.104554682970055524e+01 2.604609215358593701e+02 6.726629715383795061e-01 1.039393735372069472e-01 2.233976549244135468e-01
1.220000000000000000e+02 3.064766939048403742e+02 1.641729774850006152e+01 1.357499308447529529e-03 3.509278578851607335e+02 4.242764589350575761e+02 5.240624940072615701e-01 1.309932212252466477e-01 3.449442847674917267e-01
1.230000000000000000e+02 3.274389150512409401e+02 1.648915459736360845e+01 4.248775452758479787e-03 3.190001424683724736e+02 2.989021104837519260e+02 4.577631395239586953e-01 4.882962411238399580e-01 5.394061935220140214e-02
1.240000000000000000e+02 3.832621432967209785e+02 1.661080232753721475e+01 3.028248006962996897e-03 1.505006913135401305e+02 1.053431635779861324e+02 3.335504498850469512e-01 5.148161513732807393e-01 1.516333987416722540e-01
1.250000000000000000e+02 3.278004233661105218e+02 1.659098248455239855e+01 1.201747368511973946e-02 1.888718826751219524e+02 4.791888824586983446e+02 4.599037681644702613e-01 3.560417736898245922e-01 1.840544581457050910e-01
1.260000000000000000e+02 3.337993661354942105e+02 1.651547236197018265e+01 8.478788938781178786e-03 1.430283364596310776e+02 3.317643185703508379e+02 4.528316107607806562e-01 3.088497746022008106e-01 2.383186146370185332e-01
1.270000000000000000e+02 3.446102529109930401e+02 1.691324139460428455e+01 5.904577584622927588e-03 4.543869949421144838e+02 3.419046592477675972e+02 4.119239274192562084e-01 5.064379907532213787e-01 8.163808182752241294e-02
